"site_key","latitude","longitude","site_id"
"36.86666700_-118.58333300",36.866667,-118.583333,"36.86666700_-118.58333300"
"36.90000000_-90.32000000",36.9,-90.32,"36.90000000_-90.32000000"
"36.91666700_-90.25000000",36.916667,-90.25,"36.91666700_-90.25000000"
"36.91666700_139.50000000",36.916667,139.5,"36.91666700_139.50000000"
"36.98000000_-118.91000000",36.98,-118.91,"36.98000000_-118.91000000"
"37.06000000_-6.66000000",37.06,-6.66,"37.06000000_-6.66000000"
"37.06000000_49.51000000",37.06,49.51,"37.06000000_49.51000000"
"37.12000000_-91.06000000",37.12,-91.06,"37.12000000_-91.06000000"
"37.23000000_129.30000000",37.23,129.3,"37.23000000_129.30000000"
"37.26666700_129.01666700",37.266667,129.016667,"37.26666700_129.01666700"
"37.30000000_129.30000000",37.3,129.3,"37.30000000_129.30000000"
"37.78250000_20.77280000",37.7825,20.7728,"37.78250000_20.77280000"
"37.82000000_-83.67000000",37.82,-83.67,"37.82000000_-83.67000000"
"37.88000000_-83.72000000",37.88,-83.72,"37.88000000_-83.72000000"
"38.10000000_-83.50000000",38.1,-83.5,"38.10000000_-83.50000000"
"38.11666700_-119.95000000",38.116667,-119.95,"38.11666700_-119.95000000"
"38.37000000_-1.61000000",38.37,-1.61,"38.37000000_-1.61000000"
"38.40000000_-79.76666700",38.4,-79.766667,"38.40000000_-79.76666700"
"38.42972200_-1.75916700",38.429722,-1.759167,"38.42972200_-1.75916700"
"38.48000000_-1.83000000",38.48,-1.83,"38.48000000_-1.83000000"
"38.67000000_-0.57000000",38.67,-0.57,"38.67000000_-0.57000000"
"38.70138900_-112.81916700",38.701389,-112.819167,"38.70138900_-112.81916700"
"38.71666700_-82.51666700",38.716667,-82.516667,"38.71666700_-82.51666700"
"38.75000000_-120.33000000",38.75,-120.33,"38.75000000_-120.33000000"
"38.86000000_-120.31000000",38.86,-120.31,"38.86000000_-120.31000000"
"38.92000000_-82.50000000",38.92,-82.5,"38.92000000_-82.50000000"
"39.02000000_-78.64000000",39.02,-78.64,"39.02000000_-78.64000000"
"39.08000000_-96.58000000",39.08,-96.58,"39.08000000_-96.58000000"
"39.08333300_-96.58333300",39.083333,-96.583333,"39.08333300_-96.58333300"
"39.09305600_-96.55833300",39.093056,-96.558333,"39.09305600_-96.55833300"
"39.11000000_-96.61000000",39.11,-96.61,"39.11000000_-96.61000000"
"39.20000000_-0.91666700",39.2,-0.916667,"39.20000000_-0.91666700"
"39.20000000_-120.60000000",39.2,-120.6,"39.20000000_-120.60000000"
"39.21000000_-105.42000000",39.21,-105.42,"39.21000000_-105.42000000"
"39.31000000_-121.23000000",39.31,-121.23,"39.31000000_-121.23000000"
"39.68333300_-8.16666700",39.683333,-8.166667,"39.68333300_-8.16666700"
"39.75000000_-0.71666700",39.75,-0.716667,"39.75000000_-0.71666700"
"40.05000000_-121.13000000",40.05,-121.13,"40.05000000_-121.13000000"
"40.18000000_0.10000000",40.18,0.1,"40.18000000_0.10000000"
"40.19314100_-5.00000000",40.193141,-5,"40.19314100_-5.00000000"
"40.21666700_-105.61666700",40.216667,-105.616667,"40.21666700_-105.61666700"
"40.38305600_-5.11555600",40.383056,-5.115556,"40.38305600_-5.11555600"
"40.49000000_-121.02000000",40.49,-121.02,"40.49000000_-121.02000000"
"40.52000000_-121.42000000",40.52,-121.42,"40.52000000_-121.42000000"
"40.54000000_-122.74000000",40.54,-122.74,"40.54000000_-122.74000000"
"40.58000000_-123.52000000",40.58,-123.52,"40.58000000_-123.52000000"
"41.16666700_-86.96666700",41.166667,-86.966667,"41.16666700_-86.96666700"
"41.21666700_-117.76666700",41.216667,-117.766667,"41.21666700_-117.76666700"
"41.28333300_1.90000000",41.283333,1.9,"41.28333300_1.90000000"
"41.29346100_1.87723500",41.293461,1.877235,"41.29346100_1.87723500"
"41.68000000_2.22000000",41.68,2.22,"41.68000000_2.22000000"
"41.70000000_1.91666700",41.7,1.916667,"41.70000000_1.91666700"
