"parameter","rhat","ess_bulk","ess_tail"
"r_effect.size.id[303,Intercept]",1.00046982885155,39170.1079006851,11373.8218249581
"r_effect.size.id[304,Intercept]",1.00050890087027,39071.6893526588,11034.4468395958
"r_effect.size.id[305,Intercept]",1.00005681323267,29335.1260625468,12853.1121344703
"r_effect.size.id[306,Intercept]",1.00038589078351,39264.46564527,11651.3169771633
"r_effect.size.id[307,Intercept]",1.00047414415394,35681.6505099668,12056.70126282
"r_effect.size.id[308,Intercept]",1.00003113907303,39405.4883699939,11404.9020367595
"r_effect.size.id[309,Intercept]",1.00055318967308,36651.0356845684,11345.3019158044
"r_effect.size.id[310,Intercept]",1.00038799348172,38360.0936802272,10607.0337712026
"r_effect.size.id[311,Intercept]",1.00037009003727,38696.4091232647,11556.250853959
"r_effect.size.id[312,Intercept]",0.999929921761039,34313.2599021814,11765.532397517
"r_effect.size.id[313,Intercept]",1.00020902703236,31957.8664365815,11543.8742048128
"r_effect.size.id[314,Intercept]",1.00027933162585,34948.1177355606,12519.2662911058
"r_effect.size.id[315,Intercept]",1.00090210713821,37638.5915555617,10687.0688718308
"r_effect.size.id[316,Intercept]",1.00004133689909,41463.1462936251,10696.0762846167
"r_effect.size.id[317,Intercept]",1.00037166597812,42902.2074139662,11310.5271145734
"r_effect.size.id[318,Intercept]",1.00000528378127,41203.295304579,11110.0170359509
"r_effect.size.id[319,Intercept]",1.00053381199412,41119.7195676097,11697.5890648065
"r_effect.size.id[320,Intercept]",1.00102913901135,45046.019742283,11143.4372408461
"r_effect.size.id[321,Intercept]",1.00068717648006,28262.4961578848,12195.2759075998
"r_effect.size.id[322,Intercept]",1.00051426166399,36908.309212965,11730.0925408136
"r_effect.size.id[323,Intercept]",1.00108549716654,30512.6379585754,11571.4638002592
"r_effect.size.id[324,Intercept]",1.00058481598708,35366.9787693755,11513.6249879584
"r_effect.size.id[325,Intercept]",1.00015038113053,36623.9737426382,11598.2408547083
"r_effect.size.id[326,Intercept]",0.999920714000898,35722.7397530927,11865.0695287964
