"value","parameter","panel"
-0.00584109,"Pooled mean (Hedges' d)","Fixed effect"
0.0782224,"Pooled mean (Hedges' d)","Fixed effect"
-0.638395,"Pooled mean (Hedges' d)","Fixed effect"
-0.281795,"Pooled mean (Hedges' d)","Fixed effect"
-0.840786,"Pooled mean (Hedges' d)","Fixed effect"
-0.0514444,"Pooled mean (Hedges' d)","Fixed effect"
-0.158596,"Pooled mean (Hedges' d)","Fixed effect"
-0.19621,"Pooled mean (Hedges' d)","Fixed effect"
-0.324183,"Pooled mean (Hedges' d)","Fixed effect"
-0.258219,"Pooled mean (Hedges' d)","Fixed effect"
-0.108874,"Pooled mean (Hedges' d)","Fixed effect"
0.157962,"Pooled mean (Hedges' d)","Fixed effect"
0.194695,"Pooled mean (Hedges' d)","Fixed effect"
-0.316192,"Pooled mean (Hedges' d)","Fixed effect"
-0.375498,"Pooled mean (Hedges' d)","Fixed effect"
-0.424352,"Pooled mean (Hedges' d)","Fixed effect"
-0.713072,"Pooled mean (Hedges' d)","Fixed effect"
-0.552536,"Pooled mean (Hedges' d)","Fixed effect"
-0.407945,"Pooled mean (Hedges' d)","Fixed effect"
-0.435991,"Pooled mean (Hedges' d)","Fixed effect"
-0.366931,"Pooled mean (Hedges' d)","Fixed effect"
-0.435748,"Pooled mean (Hedges' d)","Fixed effect"
-0.446391,"Pooled mean (Hedges' d)","Fixed effect"
-0.511941,"Pooled mean (Hedges' d)","Fixed effect"
-0.573371,"Pooled mean (Hedges' d)","Fixed effect"
-0.600187,"Pooled mean (Hedges' d)","Fixed effect"
-0.290286,"Pooled mean (Hedges' d)","Fixed effect"
-0.316161,"Pooled mean (Hedges' d)","Fixed effect"
-0.0540157,"Pooled mean (Hedges' d)","Fixed effect"
0.248632,"Pooled mean (Hedges' d)","Fixed effect"
0.0233088,"Pooled mean (Hedges' d)","Fixed effect"
0.025933,"Pooled mean (Hedges' d)","Fixed effect"
-0.128411,"Pooled mean (Hedges' d)","Fixed effect"
-0.062335,"Pooled mean (Hedges' d)","Fixed effect"
-0.177317,"Pooled mean (Hedges' d)","Fixed effect"
-0.156035,"Pooled mean (Hedges' d)","Fixed effect"
-0.133527,"Pooled mean (Hedges' d)","Fixed effect"
-0.0518311,"Pooled mean (Hedges' d)","Fixed effect"
0.0583184,"Pooled mean (Hedges' d)","Fixed effect"
0.0297343,"Pooled mean (Hedges' d)","Fixed effect"
0.111964,"Pooled mean (Hedges' d)","Fixed effect"
-0.0200623,"Pooled mean (Hedges' d)","Fixed effect"
-0.136349,"Pooled mean (Hedges' d)","Fixed effect"
-0.230967,"Pooled mean (Hedges' d)","Fixed effect"
-0.15134,"Pooled mean (Hedges' d)","Fixed effect"
-0.0744244,"Pooled mean (Hedges' d)","Fixed effect"
-0.160823,"Pooled mean (Hedges' d)","Fixed effect"
-0.036813,"Pooled mean (Hedges' d)","Fixed effect"
-0.0153225,"Pooled mean (Hedges' d)","Fixed effect"
-0.0458236,"Pooled mean (Hedges' d)","Fixed effect"
-0.0267315,"Pooled mean (Hedges' d)","Fixed effect"
-0.210105,"Pooled mean (Hedges' d)","Fixed effect"
0.243416,"Pooled mean (Hedges' d)","Fixed effect"
-0.0365609,"Pooled mean (Hedges' d)","Fixed effect"
-0.164442,"Pooled mean (Hedges' d)","Fixed effect"
-0.338648,"Pooled mean (Hedges' d)","Fixed effect"
-0.234858,"Pooled mean (Hedges' d)","Fixed effect"
-0.118999,"Pooled mean (Hedges' d)","Fixed effect"
-0.308859,"Pooled mean (Hedges' d)","Fixed effect"
-0.28641,"Pooled mean (Hedges' d)","Fixed effect"
-0.159819,"Pooled mean (Hedges' d)","Fixed effect"
0.0760082,"Pooled mean (Hedges' d)","Fixed effect"
0.146346,"Pooled mean (Hedges' d)","Fixed effect"
0.273376,"Pooled mean (Hedges' d)","Fixed effect"
0.00210891,"Pooled mean (Hedges' d)","Fixed effect"
-0.191763,"Pooled mean (Hedges' d)","Fixed effect"
-0.322702,"Pooled mean (Hedges' d)","Fixed effect"
-0.429072,"Pooled mean (Hedges' d)","Fixed effect"
