Pub_1st_author,Pub_year,Analysis_1,Analysis_2,Analysis_3,Analysis_4,Nutrient_Analyses,Effect_size (natural log response ratio of mean inoculated plant mass over mean non-inoculated plant mass),Estimated_variance (inverse of summed replicates of inoculated and non-inoculated plants),"N-fertilization (0=not fertilized with N, 1=fertilized with N)","P-fertilization (0=not fertilized with P, 1=fertilized with P)","Fertilization (N only, P only, neither, or both)",Location (lab or field),MycorrhizaType (AM or EM),"InoculumComplexity (Single species, multiple species, or whole soil inoculum)",PlantGenus,PlantSpecificEpithet,PlantFamily,PlantFunctionalGroup,FungalGenus,MicrobeControl,Sterility,Plant_tissue_N:P_ratio
Azcon,1997,Yes,Yes,Yes,Yes,No,-0.002129926,0.5,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,-0.010787591,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,-0.018127385,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.182709982,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.663990596,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,2.432064168,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.25022451,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.238504836,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.374502883,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.484680344,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.565759343,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,1.982113198,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Aziz,1992,Yes,Yes,Yes,Yes,No,-0.098873004,0.0625,1,1,both,lab,AM,Single,Panicum,amarum,Poaceae,C4 grass,Glomus,none,sterile,
Aziz,1992,Yes,Yes,Yes,Yes,No,1.419817053,0.0625,1,1,both,lab,AM,Single,Panicum,amarum,Poaceae,C4 grass,Glomus,none,sterile,
Aziz,1992,Yes,Yes,Yes,Yes,No,0.564314309,0.0625,1,1,both,lab,AM,Single,Panicum,amarum,Poaceae,C4 grass,Glomus,none,sterile,
Aziz,1992,Yes,Yes,Yes,Yes,No,0.684014697,0.0625,1,1,both,lab,AM,Single,Panicum,amarum,Poaceae,C4 grass,Glomus,none,sterile,
Aziz,1992,Yes,Yes,Yes,Yes,No,-0.084796537,0.0625,1,1,both,lab,AM,Single,Uniola,paniculata,Poaceae,C3 grass,Glomus,none,sterile,
Aziz,1992,Yes,Yes,Yes,Yes,No,0.426084395,0.0625,1,1,both,lab,AM,Single,Uniola,paniculata,Poaceae,C3 grass,Glomus,none,sterile,
Bala,1985,Yes,Yes,Yes,No,No,0.759838555,0.083333333,0,0,neither,field,AM,Single,Lens,culinaris,Fabaceae,N-fixing forb,Glomus,none,Unknown,
Bala,1985,Yes,Yes,Yes,No,No,0.280077473,0.083333333,0,0,neither,field,AM,Single,Lens,culinaris,Fabaceae,N-fixing forb,Glomus,none,Unknown,
Bala,1985,Yes,Yes,Yes,No,No,0.162518929,0.083333333,0,0,neither,field,AM,Single,Lens,culinaris,Fabaceae,N-fixing forb,Glomus,none,Unknown,
Baon,1993,Yes,Yes,Yes,Yes,No,0.057833957,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.019468235,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,0.091342526,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.065081852,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.210942374,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,0.689117625,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.080022035,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,0.019346327,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.069422887,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,0.109650366,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.150277248,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,0.136056459,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
