"parameter","rhat","ess_bulk","ess_tail"
"r_phy[Aythya_ferina,Intercept]",1.00050336864315,9881.75166961192,9716.31922706496
"r_phy[Fulica_atra,Intercept]",1.00092606578208,8724.32079016355,9339.48307070903
"r_phy[Porphyrio_porphyrio,Intercept]",1.00101148402412,8297.85319822359,9066.70603750434
"r_phy[Bubulcus_ibis,Intercept]",1.00061032010562,9109.2043625068,9648.98307465904
"r_phy[Ciconia_ciconia,Intercept]",1.00066317833996,8912.00146840438,9940.43298485986
"r_phy[Falco_tinnunculus,Intercept]",1.00035076231783,10765.2150373268,10712.0823264058
"r_phy[Aphrastura_spinicauda,Intercept]",1.000586122714,10153.7373796228,10840.5910390921
"r_phy[Sayornis_phoebe,Intercept]",1.00056943162318,10296.244153691,10078.243326755
"r_phy[Petroica_australis,Intercept]",1.00037400493616,10518.9551283224,10407.4337006395
"r_phy[Parus_caeruleus,Intercept]",1.00104745374546,9749.16941155501,9280.18804799022
"r_phy[Parus_major,Intercept]",1.0006367532438,9716.38625371,9681.01603835243
"r_phy[Hirundo_rustica,Intercept]",1.00101103297847,9643.73016718144,9404.87130140743
"r_phy[Tachycineta_bicolor,Intercept]",1.00088768066421,9488.44983198158,9036.34227749905
"r_phy[Sturnus_vulgaris,Intercept]",1.00049158585334,9404.37582979033,8946.46450642148
"r_phy[Phoenicurus_phoenicurus,Intercept]",1.00053937789573,9396.81869819421,9364.96604651956
"r_phy[Ficedula_hypoleuca,Intercept]",1.00047212452333,9400.50367625705,9859.61222075775
"r_phy[Taeniopygia_guttata,Intercept]",1.00053956698993,9334.77885248758,10554.5235195373
"r_phy[Protonotaria_citrea,Intercept]",1.00105453354983,9593.65142510406,10212.8277318259
"r_phy[Quiscalus_quiscula,Intercept]",1.00070986914041,9537.48017215547,10150.2593787517
"r_phy[Sphenodon_punctatus,Intercept]",1.00020151687541,11925.9291052856,9120.56469211182
"r_phy[Eulamprus_tympanum,Intercept]",1.00030438209001,11434.9995232082,10691.2662023101
"r_phy[Psammodromus_algirus,Intercept]",1.00026732627587,10532.9286689374,9702.46784588484
"r_phy[Zootoca_vivipara,Intercept]",1.00013169569547,11355.7720426915,9322.87449710574
"r_phy[Podarcis_atrata,Intercept]",1.00046740134432,10024.0055220755,9724.19858695961
"r_phy[Podarcis_melisellensis,Intercept]",1.00045442215408,10468.4264664065,9930.95577720882
"r_phy[Podarcis_milensis,Intercept]",1.00053943011214,10126.4553862624,10600.7188246332
"r_phy[Podarcis_muralis,Intercept]",1.0001261645455,10492.9863537986,9970.5475492013
"r_phy[Podarcis_lilfordi,Intercept]",1.00026084610858,10157.6825375997,10042.3787846086
"r_phy[Iberolacerta_monticola,Intercept]",1.00010994049985,10788.5901415882,11055.3115500771
"r_phy[Anguis_fragilis,Intercept]",1.00079067270531,5257.21558002525,7157.89370748504
"r_phy[Chamaeleo_montium,Intercept]",1.00016579463932,10276.6649235665,8368.15522649431
"r_phy[Leiolepis_reevesii,Intercept]",1.00025467910598,10635.2759333013,10532.710400003
"r_phy[Rankinia_diemensis,Intercept]",1.00045778131952,10326.5068049988,9436.49030608481
"r_phy[Ctenophorus_fordi,Intercept]",1.00023521360526,10343.1059691761,9623.32272286887
"r_phy[Sitana_ponticeriana,Intercept]",1.00021596459601,10243.514806992,9738.24413391415
"r_phy[Calotes_versicolor,Intercept]",1.00015940690739,10013.897081625,10050.7926729286
"r_phy[Cyclura_cychlura,Intercept]",1.00008113516368,9449.15292738732,9409.26560133482
"r_phy[Ctenosaura_pectinata,Intercept]",1.00020898416365,9398.88810460467,9073.00931788007
"r_phy[Iguana_iguana,Intercept]",1.00012863130529,9648.80464878158,9148.15104592405
"r_phy[Uta_stansburiana,Intercept]",0.999946135306632,9717.71164190888,8896.22551881057
"r_phy[Sceloporus_spinosus,Intercept]",0.999972609641159,9809.32790271679,9013.79782774676
"r_phy[Sceloporus_virgatus,Intercept]",1.00026200887831,9917.35174689661,8963.05734125672
"r_phy[Oplurus_cuvieri,Intercept]",1.00039168126942,10483.7121120357,9858.09632268781
"r_phy[Eurolophosaurus_nanuzae,Intercept]",1.00026237639608,10312.2940674883,9707.99306488303
"r_phy[Ramphotyphlops_braminus,Intercept]",1.00020861604854,11354.0944629407,9678.54333743872
"r_phy[Vipera_aspis,Intercept]",1.00024141867551,11298.5925511821,9840.50262898502
"r_phy[Vipera_ursinii,Intercept]",1.00016295550808,11150.0182844455,9641.56329579169
"r_phy[Diadophis_punctatus,Intercept]",0.999917912340267,10414.2617390283,10273.4157712891
"r_phy[Natrix_natrix,Intercept]",0.999906258833694,9940.76255449781,10015.4881185278
"r_phy[Tropidonophis_mairii,Intercept]",1.00032546906199,9808.85461877014,9473.62936487093
"r_phy[Storeria_dekayi,Intercept]",1.00002505492156,9193.65923769997,9068.16320617901
"r_phy[Thamnophis_ordinoides,Intercept]",1.00006188784625,9598.63747696454,9527.7443159158
"r_phy[Nerodia_sipedon,Intercept]",0.999942399005033,9470.01004475959,9533.80953098932
"r_phy[Spalerosophis_diadema,Intercept]",0.999986541834138,9905.81276661824,9397.83711274058
"r_phy[Elaphe_quadrivirgata,Intercept]",1.00022279047813,8967.85815899376,8699.37603083475
"r_phy[Coronella_austriaca,Intercept]",1.00032557539481,10009.5907383944,10138.1079733073
"r_phy[Pituophis_catenifer,Intercept]",1.00027070564422,9675.41208394821,9270.09533358597
"r_phy[Pantherophis_obsoletus,Intercept]",1.00025514062203,9757.24298002675,9517.15141589153
"r_species[Alectoris_rufa,Intercept]",1.00024337268235,7819.72158098057,12171.5061015072
"r_species[Alytes_obstetricans,Intercept]",1.00005051842858,16238.2983605372,13059.6212319728
"r_species[Anas_platyrhynchos,Intercept]",1.00017910319736,9584.81906060901,11229.5450794807
"r_species[Anguis_fragilis,Intercept]",1.0009991739578,1791.54342754127,2884.03559718527
"r_species[Apalone_ferox,Intercept]",1.0006284159549,23629.4233701429,12835.8454449373
"r_species[Apalone_mutica,Intercept]",1.00054875299869,18276.0009338546,11871.2648334071
"r_species[Aphrastura_spinicauda,Intercept]",1.00047538879129,9520.04026175763,12389.7836714033
"r_species[Araschnia_levana,Intercept]",1.00006931661906,5507.89135637632,10558.9667732525
"r_species[Austropotamobius_italicus,Intercept]",1.00018829977917,22248.3531179432,12647.8015992455
"r_species[Aythya_ferina,Intercept]",1.00023932903012,22981.4041966114,12902.1433280908
"r_species[Bicyclus_anynana,Intercept]",1.00033035581502,21224.0830266948,12528.1605241396
"r_species[Branta_bernicla,Intercept]",1.00042106502993,17179.5074354485,12845.0997548342
"r_species[Branta_canadensis,Intercept]",1.00009755114444,22288.3339892881,11936.1822248121
"r_species[Bubulcus_ibis,Intercept]",1.00021559199159,15736.9367056747,12609.696204459
"r_species[Bucephala_clangula,Intercept]",1.00056658060861,20235.1515097202,11729.5643064334
"r_species[Caiman_crocodilus,Intercept]",1.000434252605,12316.1946913788,11443.2811324878
"r_species[Calotes_versicolor,Intercept]",1.00003681486471,8704.01481996536,12354.6572991456
"r_species[Canis_lupus,Intercept]",1.00054475627503,15942.2768778354,11345.6846575447
"r_species[Carettochelys_insculpta,Intercept]",1.00002147470066,17127.9967338172,13613.5543951198
"r_species[Cavia_aperea,Intercept]",1.00041026121518,5890.3089288698,8886.41769590755
"r_species[Centruroides_vittatus,Intercept]",1.0000653768589,14308.1553000708,11155.1097319309
"r_species[Chamaeleo_montium,Intercept]",0.999968591363019,10050.2026712432,12021.5367960576
"r_species[Chen_canagica,Intercept]",1.00010689612892,24553.427787273,11859.0357047983
"r_species[Chorthippus_brunneus,Intercept]",1.00010240936276,9234.75168757625,12191.3673474254
"r_species[Chrysemys_picta,Intercept]",1.0008224918164,20219.4611167486,12750.5301985617
"r_species[Ciconia_ciconia,Intercept]",1.00009540578672,15913.9161773118,13501.7810881839
"r_species[Clemmys_insculpta,Intercept]",1.00037107047205,7585.57412521836,10988.8110094485
"r_species[Copidosoma_bakeri,Intercept]",1.00025830137218,3968.474835281,9220.44671154562
"r_species[Coronella_austriaca,Intercept]",1.00016134352154,7649.14283349826,12304.719841096
"r_species[Crocidura_russula,Intercept]",1.00048789168313,8532.52152749143,10281.3420776307
"r_species[Ctenophorus_fordi,Intercept]",1.00057203307898,20501.2108400028,12457.0595310543
"r_species[Ctenosaura_pectinata,Intercept]",1.00019408126269,9757.27322403143,10804.3791279507
"r_species[Cyclura_cychlura,Intercept]",1.00030849951301,23182.0822523183,11688.9818825411
"r_species[Cygnus_buccinator,Intercept]",1.00001543987755,17533.3095379706,12274.9745120306
"r_species[Cygnus_olor,Intercept]",1.00010352546405,23850.7412310549,12546.0000592403
"r_species[Daphnia_magna,Intercept]",1.00040833435711,4775.48782891939,7288.2373846487
"r_species[Dermochelys_coriacea,Intercept]",1.00009698124057,24010.8490452822,13187.8896499589
"r_species[Diadophis_punctatus,Intercept]",1.00030659537088,24802.6003870941,13036.4515415747
"r_species[Elaphe_quadrivirgata,Intercept]",1.00060298605228,3408.47611851145,4347.45105215487
"r_species[Emydoidea_blandingii,Intercept]",1.00040114127101,13980.9615371173,12069.9507764003
